Neliöt,Hinta,Kaupunginosa,Rakennusvuosi,Tyyppi
22.0,127000,vuores,2020,Kerrostalo
53.0,220029,nekala,2018,Luhtitalo
43.5,224500,tammela,2015,Kerrostalo
38.0,196000,santalahti,2019,Kerrostalo
28.5,59000,kaukajärvi,1978,Kerrostalo
47.5,232000,keskusta,1964,Kerrostalo
85.5,199000,janka,1991,Kerrostalo
70.5,75000,peltolammi,1972,Kerrostalo
26.0,139900,hervanta,2021,Kerrostalo
26.0,135800,hervanta,2021,Kerrostalo
80.0,248000,linnainmaa,1995,Rivitalo
57.5,70000,annala,1978,Kerrostalo
26.0,138000,lielahti,2018,Kerrostalo
51.5,170000,kaukajärvi,2016,Kerrostalo
44.5,13680,linnainmaa,2002,Kerrostalo
58.0,248000,huikas,2021,Kerrostalo
75.0,153000,kaukajärvi,1991,Kerrostalo
101.5,24151,annala,1996,Rivitalo
84.0,38208,niemenranta,2017,Kerrostalo
29.0,15931,niemenranta,2017,Kerrostalo
74.0,105000,hervanta,1979,Kerrostalo
84.5,489000,tampella,2020,Kerrostalo
55.0,194000,tammela,1967,Kerrostalo
75.5,80000,tesoma,1980,Kerrostalo
60.5,149000,janka,1995,Kerrostalo
37.5,204000,härmälänranta,2021,Kerrostalo
31.5,137000,amuri,1980,Kerrostalo
44.0,148983,janka,2003,Kerrostalo
31.5,79500,kaukajärvi,1976,Kerrostalo
130.0,790000,keskusta,1917,Kerrostalo
31.0,80000,multisilta,1972,Kerrostalo
54.0,74000,terälahti,1975,Paritalo
59.5,149000,hallila,1991,Kerrostalo
50.5,155000,tesoma,2008,Kerrostalo
55.5,235000,kaleva,1961,Kerrostalo
62.5,150000,atala,1990,Rivitalo
71.0,279000,järvensivu,2007,Kerrostalo
58.5,154000,holvasti,2001,Kerrostalo
56.0,81000,hervanta,1977,Kerrostalo
72.0,123000,kaukajärvi,1968,Kerrostalo
84.0,248000,linnainmaa,1987,Rivitalo
34.0,271220,keskusta,2021,Kerrostalo
102.5,359000,pyynikki,2000,Kerrostalo
48.5,119990,kaukajärvi,1965,Kerrostalo
51.5,21091,vuores,2015,Kerrostalo
46.0,159000,armonkallio,1970,Kerrostalo
79.0,210000,pappila,1973,Rivitalo
90.5,135000,annala,1980,Kerrostalo
46.0,254000,tampella,2022,Kerrostalo
46.0,239000,tampella,2022,Kerrostalo
46.0,262000,tampella,2022,Kerrostalo
46.0,244000,tampella,2022,Kerrostalo
46.0,249000,tampella,2022,Kerrostalo
43.0,272000,tampella,2022,Kerrostalo
43.0,276000,tampella,2022,Kerrostalo
43.0,283000,tampella,2022,Kerrostalo
43.0,268000,tampella,2022,Kerrostalo
43.0,264000,tampella,2022,Kerrostalo
77.0,399000,tampella,2022,Kerrostalo
47.5,270000,tampella,2022,Kerrostalo
44.5,249000,tampella,2022,Kerrostalo
47.5,252000,tampella,2022,Kerrostalo
47.5,247000,tampella,2022,Kerrostalo
47.5,262000,tampella,2022,Kerrostalo
47.5,229000,tampella,2022,Kerrostalo
47.5,257000,tampella,2022,Kerrostalo
47.5,221000,tampella,2022,Kerrostalo
66.5,323000,tampella,2022,Kerrostalo
50.0,274000,tampella,2022,Kerrostalo
50.0,279000,tampella,2022,Kerrostalo
50.0,286000,tampella,2022,Kerrostalo
46.5,234000,tampella,2022,Kerrostalo
46.5,229000,tampella,2022,Kerrostalo
