Neliöt,Hinta,Kaupunginosa,Rakennusvuosi,Tyyppi
64.5,295000,härmälänranta,2018,Kerrostalo
54.0,199000,kaleva,1942,Kerrostalo
64.0,175000,onkiniemi,1985,Kerrostalo
78.5,308000,kaleva,1954,Kerrostalo
59.5,129000,rahola,1972,Kerrostalo
44.0,172000,pyynikki,1928,Kerrostalo
70.5,169000,rantaperkiö,1969,Kerrostalo
57.0,119000,kaukajärvi,1971,Kerrostalo
59.0,125000,ruotula,1965,Kerrostalo
71.0,234000,hervantajärvi,2022,Rivitalo
71.0,236000,hervantajärvi,2022,Rivitalo
71.0,236000,hervantajärvi,2022,Rivitalo
90.0,297000,hervantajärvi,2022,Rivitalo
90.0,294000,hervantajärvi,2022,Rivitalo
90.0,292000,hervantajärvi,2022,Rivitalo
71.0,236000,hervantajärvi,2022,Rivitalo
90.0,294000,hervantajärvi,2022,Rivitalo
71.0,234000,hervantajärvi,2022,Rivitalo
71.0,236000,hervantajärvi,2022,Rivitalo
90.0,303000,hervantajärvi,2022,Rivitalo
71.0,234000,hervantajärvi,2022,Rivitalo
42.0,255000,amuri,2019,Kerrostalo
45.0,227500,rantatampella,2022,Kerrostalo
79.0,199000,pappila,1973,Rivitalo
25.0,119500,vuores,2016,Kerrostalo
39.0,172000,muotiala,2017,Luhtitalo
69.5,229000,vuores,2016,Kerrostalo
61.5,235000,keskusta,1963,Kerrostalo
38.0,186000,amuri,1939,Kerrostalo
75.0,109000,multisilta,1971,Kerrostalo
99.5,295000,hakametsä,1984,Kerrostalo
27.5,115000,vuores,2017,Kerrostalo
49.5,225000,keskusta,1927,Kerrostalo
26.0,162000,amuri,1952,Kerrostalo
74.0,139000,rautaharkko,1969,Kerrostalo
59.5,123000,lentävänniemi,1970,Kerrostalo
58.0,114000,irjala,1960,Kerrostalo
32.5,125000,kaukajärvi,2018,Kerrostalo
27.5,109000,annala,2016,Kerrostalo
99.0,225000,viiala,1950,Omakotitalo
62.0,198000,kaleva,1958,Kerrostalo
51.5,384000,keskusta,2018,Kerrostalo
48.0,199000,kaakinmaa,1963,Kerrostalo
43.5,189000,kaleva,2012,Kerrostalo
31.5,74000,lentävänniemi,1975,Kerrostalo
74.0,268000,armonkallio,1963,Kerrostalo
48.5,150000,kaleva,1960,Kerrostalo
38.0,126000,hyhky,1996,Luhtitalo
62.0,279000,niemenranta,2020,Kerrostalo
66.0,315500,niemenranta,2020,Kerrostalo
62.0,279000,niemenranta,2020,Kerrostalo
66.0,315500,niemenranta,2020,Kerrostalo
68.0,319900,niemenranta,2021,Kerrostalo
100.0,138000,peltolammi,1967,Kerrostalo
74.5,342900,härmälänranta,2021,Kerrostalo
24.0,79000,pispala,1966,Kerrostalo
114.0,225000,ryydynpohja,1980,Rivitalo
46.0,172500,hyhky,2015,Luhtitalo
48.0,309000,sorsapuisto,2016,Kerrostalo
28.0,134900,lentävänniemi,2018,Kerrostalo
44.5,186216,kaleva,1940,Kerrostalo
62.5,125000,lentävänniemi,1977,Kerrostalo
62.5,275000,lielahti,2019,Kerrostalo
43.0,105000,rahola,1966,Kerrostalo
31.0,145000,kaleva,2012,Kerrostalo
45.5,210000,niemenranta,2015,Kerrostalo
34.0,242900,keskusta,2022,Kerrostalo
33.5,169500,härmälänranta,2019,Kerrostalo
57.0,258000,härmälänranta,2021,Kerrostalo
120.0,124000,leinola,1969,Omakotitalo
